P36575	ENSG00000120500
Q8N6M6	ENSG00000148120
Q6Q4G3	ENSG00000172901
P30533	ENSG00000163956
Q6UX39	ENSG00000187689
Q86W34	ENSG00000196704
Q8N6S4	ENSG00000118454
Q8IVF6	ENSG00000180071
Q9BXX2	ENSG00000180777
P23582	ENSG00000163273
Q96BM1	ENSG00000156381
Q8IV38	ENSG00000106524
Q9NQW6	ENSG00000011426
P55345	ENSG00000160310
Q9UM13	ENSG00000164162
Q9NYG5	ENSG00000141552
Q9BPW4	ENSG00000100336
Q9BWW8	ENSG00000221963
O43315	ENSG00000103569
O60306	ENSG00000021776
Q66PJ3	ENSG00000182196
P62330	ENSG00000165527
P53365	ENSG00000132254
P78540	ENSG00000081181
Q8N7S6	ENSG00000221883
O43488	ENSG00000053371
O95154	ENSG00000162482
P56559	ENSG00000188042
Q9H0F7	ENSG00000113966
P04424	ENSG00000126522
Q7L4S7	ENSG00000198960
P61158	ENSG00000115091
P56385	ENSG00000169020
P18859	ENSG00000154723
Q99766	ENSG00000125375
Q6RW13	ENSG00000177674
O75882	ENSG00000088812
P46100	ENSG00000085224
Q13535	ENSG00000175054
Q8TE58	ENSG00000166106
Q9UNA0	ENSG00000154736
Q9UKP4	ENSG00000136378
P54253	ENSG00000124788
Q8WWM7	ENSG00000168488
Q9Y679	ENSG00000115307
Q9UQB9	ENSG00000105146
Q8WXX7	ENSG00000158321
O75061	ENSG00000116675
Q58HT5	ENSG00000204195
Q07817	ENSG00000171552
O94766	ENSG00000149541
Q8NCR0	ENSG00000162885;ENSG00000282880
Q9Y2A9	ENSG00000179913
O43505	ENSG00000174684
Q76KP1	ENSG00000182272
P15291	ENSG00000086062
P0C853	
Q9NXR7	ENSG00000158019
Q9Y5Z0	ENSG00000182240
Q9BYV9	ENSG00000112182
Q9UMQ3	ENSG00000043039
Q9UIF9	ENSG00000076108
Q8TAM1	ENSG00000179941
P03928	ENSG00000228253
P56134	ENSG00000241468
Q13825	ENSG00000148090
Q96GD4	ENSG00000178999
Q9Y2T1	ENSG00000168646
Q9BZR8	ENSG00000281449;ENSG00000121380
P48751	ENSG00000114923
P02730	ENSG00000004939
Q8NFL0	ENSG00000156966
Q6UX72	ENSG00000237172
Q96L58	ENSG00000176022
Q9UPM9	ENSG00000108641
Q86Y28	
Q6ZNE5	ENSG00000126775
Q8NDB2	ENSG00000153064
Q9UIF8	ENSG00000123636
Q9BXC9	ENSG00000125124
O75815	ENSG00000137936
O60756	
Q9BQE9	ENSG00000106635
Q86UU0	ENSG00000186174
Q9Y276	ENSG00000074582
Q14457	ENSG00000126581
A8MW95	ENSG00000196289
Q7L4P6	ENSG00000162373
Q8WYN0	ENSG00000101844
Q9Y4P1	ENSG00000168397
Q9H1Y0	ENSG00000057663
O95352	ENSG00000197548
Q674R7	ENSG00000181652
Q86TH1	ENSG00000197859
Q8WXF7	ENSG00000198513
P56381	ENSG00000124172
Q6ZP68	
Q9HB09	ENSG00000126453
P04920	ENSG00000164889
P59052	
Q5FYA8	ENSG00000205667
P50553	ENSG00000139352
Q7RTU5	ENSG00000232237
Q96FT7	ENSG00000072182
Q9NY37	ENSG00000256394
Q12797	ENSG00000198363
Q8IZT6	ENSG00000066279
Q9BXN1	ENSG00000106819
Q13625	ENSG00000143514
P54707	ENSG00000075673
P50993	ENSG00000018625
Q13733	ENSG00000132681
P14415	ENSG00000129244
Q8IUZ5	ENSG00000175309
P18847	ENSG00000162772
Q99941	ENSG00000213676;ENSG00000234539;ENSG00000168468;ENSG00000228628
Q2TAZ0	ENSG00000110046
Q6ZMM2	ENSG00000185761
P54259	ENSG00000111676
P54710	ENSG00000137731
Q92858	ENSG00000172238
O00244	ENSG00000177556
Q5TC12	ENSG00000123472
O43521	ENSG00000153094
Q8WZ19	ENSG00000174943
Q86Y30	
Q9UQB8	ENSG00000175866
Q8N9N5	ENSG00000172530
Q99728	ENSG00000138376
P35613	ENSG00000172270
P82251	ENSG00000021488
Q07812	ENSG00000087088
Q9BXH1	ENSG00000105327
Q6ZUJ8	ENSG00000155629
P56945	ENSG00000050820
Q8TDM0	ENSG00000124243
P54687	ENSG00000060982
Q9P287	ENSG00000107949
P10415	ENSG00000171791
Q4VC05	ENSG00000110987;ENSG00000282873
O00512	ENSG00000116128
Q8NFC6	ENSG00000038219
O76090	ENSG00000167995
Q9NYM9	ENSG00000177951
Q9BXY8	ENSG00000133134
Q9NWD9	ENSG00000102409
Q9NZS9	ENSG00000275618;ENSG00000103429
P16442	
P08236	ENSG00000169919
Q6P575	
Q8NFJ8	ENSG00000180828
Q02127	ENSG00000102967
O14949	ENSG00000164405
Q08257	ENSG00000116791
Q16769	ENSG00000115828
Q6NUR6	
Q96D70	ENSG00000198858
Q86UN2	ENSG00000185924
Q86UN3	ENSG00000186907
Q09MP3	ENSG00000214842
Q6MZT1	ENSG00000186479
Q9H974	ENSG00000151576
Q7Z419	ENSG00000137393
O75943	ENSG00000276618;ENSG00000152942
O60671	ENSG00000113456
Q96JH8	ENSG00000157927
P35241	ENSG00000137710
Q13702	ENSG00000165917
Q8N0V3	ENSG00000101546
Q9Y3P9	ENSG00000011454
Q9H2M9	ENSG00000118873
Q9UBK7	ENSG00000144134
Q9Y4C8	ENSG00000122965
Q86U06	ENSG00000100461
P49756	ENSG00000119707
Q96EV2	ENSG00000184863
Q96LT9	ENSG00000185946
Q8IUH3	ENSG00000155636
A0AV96	ENSG00000163694
Q9H477	ENSG00000171174
P25791	ENSG00000135363
Q15415	ENSG00000226941;ENSG00000169800
Q9HBD1	ENSG00000056586
P27708	ENSG00000084774
Q5JQD4	
O14957	ENSG00000127540
P31930	ENSG00000010256
A0A096LP55	ENSG00000233954
P14927	ENSG00000156467
Q9UDW1	ENSG00000184076
Q53FA7	ENSG00000115129
Q2TAL8	ENSG00000198218
Q6ZRP7	ENSG00000165661
B2RC85	ENSG00000169402
O15541	ENSG00000125352
A8MTL3	ENSG00000215277
P51153	ENSG00000143545
Q9H0T7	ENSG00000124839
A4D1S5	ENSG00000146955
Q92928	
Q9ULC3	ENSG00000112210
Q7Z6P3	ENSG00000255587
P20338	ENSG00000168118
Q9H0N0	ENSG00000222014
P51149	ENSG00000075785
O14966	ENSG00000117280
Q15276	ENSG00000029725
P29762	ENSG00000166426
P29373	ENSG00000143320
Q9UJ41	ENSG00000154710
P60763	ENSG00000169750
P63244	ENSG00000204628
P55042	ENSG00000166592
P78406	ENSG00000101146
P04049	ENSG00000132155
P15918	ENSG00000166349
Q15109	ENSG00000237405;ENSG00000206320;ENSG00000230514;ENSG00000204305;ENSG00000234729;ENSG00000231268;ENSG00000229058
Q9P0K7	ENSG00000039560
Q7Z5J4	ENSG00000108557
A6NC62	
P11234	ENSG00000144118
Q9UKM9	ENSG00000125970
O60895	ENSG00000131477
P61225	ENSG00000181467
Q9Y3L5	ENSG00000123728
Q9Y272	ENSG00000108551
P50749	ENSG00000101265
O43374	ENSG00000105808
Q86YV0	ENSG00000105122
Q96S21	ENSG00000197562
Q16576	ENSG00000102054
Q8TDY2	ENSG00000023287
P57052	ENSG00000185272
Q5T8P6	ENSG00000139746
Q9H1K0	ENSG00000131381
Q9H2T7	ENSG00000204764
Q93062	ENSG00000157110
Q5TC82	ENSG00000135870
Q14206	ENSG00000172348
O00559	ENSG00000147654
Q8NDN9	ENSG00000136144
Q9P258	ENSG00000281540;ENSG00000179051
Q8TC12	ENSG00000072042
Q8N3Y7	ENSG00000170786
P61578	
P51991	ENSG00000170144
Q96C74	ENSG00000145491
Q92753	ENSG00000198963
O15160	ENSG00000171453
P52435	ENSG00000005075
P24928	ENSG00000181222
O15514	ENSG00000144231
P62487	ENSG00000168002
O14802	ENSG00000148606
Q9BUI4	ENSG00000186141
P47736	ENSG00000076864
P78345	ENSG00000152464
Q96P16	ENSG00000141425
Q8N4K4	ENSG00000179673
Q9NS64	ENSG00000177519
Q8N122	ENSG00000141564
Q9Y3B9	ENSG00000067533
Q96EU6	ENSG00000124541
P62263	ENSG00000164587
Q8N5L8	ENSG00000164967
O95602	ENSG00000068654
Q8IXW5	ENSG00000122484
Q9H6T3	ENSG00000005175
Q9GZM3	ENSG00000228049
Q9Y2Y1	ENSG00000161980
Q9NW08	ENSG00000013503
P04843	ENSG00000163902
Q9H633	ENSG00000243009;ENSG00000241370;ENSG00000241863;ENSG00000241779;ENSG00000239865;ENSG00000239927;ENSG00000242726
Q9P2E9	ENSG00000125844
Q9Y3A4	ENSG00000189306
A6NIZ1	
Q8IWN7	
P56715	ENSG00000104237
Q9Y2J0	ENSG00000089169
O15446	ENSG00000117877
P62875	ENSG00000177700
Q9H1A7	ENSG00000168255
Q9H1D9	ENSG00000132664
O15318	ENSG00000113356
Q16518	ENSG00000116745
Q9H9Y2	ENSG00000117133
Q8WZA2	ENSG00000091428
Q92565	ENSG00000136237
O95707	ENSG00000105171
P78346	ENSG00000148688
Q969S9	ENSG00000164347
P46783	ENSG00000124614
P62280	ENSG00000142534
O95059	ENSG00000163684
Q5VT52	ENSG00000163125
Q5VZM2	ENSG00000083750
Q9NQL2	ENSG00000025039
Q92766	ENSG00000124782
Q96E11	ENSG00000148187
Q9Y2L1	ENSG00000083520
Q9NYV6	ENSG00000278494;ENSG00000085721
P56182	ENSG00000160214
P63220	ENSG00000171858
P62851	ENSG00000280831;ENSG00000118181
P39019	ENSG00000105372
P62081	ENSG00000171863
P46781	ENSG00000274005;ENSG00000274646;ENSG00000278081;ENSG00000274950;ENSG00000277359;ENSG00000278270;ENSG00000277079;ENSG00000170889;ENSG00000274626;ENSG00000275323
P62070	ENSG00000133818
P08708	ENSG00000182774;ENSG00000278229
P62269	ENSG00000226225;ENSG00000235650;ENSG00000231500;ENSG00000223367;ENSG00000096150
Q5JNZ5	
P15880	ENSG00000140988
Q8WXW3	ENSG00000083535
Q9NRD5	ENSG00000100151
Q9H611	ENSG00000140451
Q5H8A4	ENSG00000174227
O95427	ENSG00000197563
Q8TEQ8	ENSG00000165282
Q96S52	ENSG00000087111
Q8WWB5	ENSG00000150773
Q00169	ENSG00000174238
P48739	ENSG00000180957
Q96J94	ENSG00000125207;ENSG00000275051
Q9Y2H5	ENSG00000143850
Q96JA3	ENSG00000106086
Q9Y4G2	ENSG00000277111;ENSG00000225190;ENSG00000276358
Q6ZWE6	ENSG00000178385
Q16513	ENSG00000065243
P55347	ENSG00000160199
Q8NFJ6	ENSG00000101292
Q4KWH8	ENSG00000114805
Q6UQ28	ENSG00000188771
Q9NYY3	ENSG00000145632
A4D2B8	
P07738	ENSG00000172331
Q8WZA1	ENSG00000085998
P29590	ENSG00000140464
Q6XQN6	ENSG00000147813;ENSG00000278488
P22103	
Q96T60	ENSG00000039650
Q9NRX1	ENSG00000115946
Q13519	ENSG00000168081
P49335	ENSG00000196767
Q01851	ENSG00000152192
Q9QC07	
P63133	
Q5K4E3	ENSG00000178226
Q15008	ENSG00000163636
Q9UL46	ENSG00000100911
O95456	ENSG00000183527
Q5JS54	ENSG00000180822
P49768	ENSG00000080815
O95758	ENSG00000119314
Q9Y6C5	ENSG00000117425
Q8WV60	ENSG00000049883
Q96EY7	ENSG00000132300
Q6ISU1	ENSG00000171611
Q7RTS3	ENSG00000168267
Q86Y79	ENSG00000187024
Q13308	ENSG00000112655
Q12923	ENSG00000163629
Q86YD1	ENSG00000104960
Q6GMV3	ENSG00000184924
P48651	ENSG00000156471
Q96A99	ENSG00000251692
O15067	ENSG00000178921
Q8N0Z8	ENSG00000169972
Q8IV42	ENSG00000179988
Q8IYL9	ENSG00000140030
Q6UWS5	ENSG00000232838
Q9UKA9	ENSG00000117569
O75127	ENSG00000106246
O14684	ENSG00000148344
Q14914	ENSG00000106853
Q03431	ENSG00000160801
A2A3K4	ENSG00000158079
Q9NZH4	
Q9UHX1	ENSG00000274081;ENSG00000179950
Q14671	ENSG00000134644
Q15397	ENSG00000080608
P22234	ENSG00000128050
P31939	ENSG00000138363
Q8N142	ENSG00000185100
Q8WXC3	ENSG00000169900
P11216	ENSG00000100994
Q9BRP8	ENSG00000170473
Q9UKY0	ENSG00000171864
Q9NV39	ENSG00000182257
P62333	ENSG00000100519
A6NIE9	
A4D1T9	ENSG00000165076
E5RG02	ENSG00000261603
P62191	ENSG00000100764
O14603	ENSG00000169789;ENSG00000169807
P60900	ENSG00000100902
P28072	ENSG00000142507
P28062	ENSG00000230034;ENSG00000230669;ENSG00000231631;ENSG00000226201;ENSG00000236443;ENSG00000204264;ENSG00000235715;ENSG00000206298
O00231	ENSG00000108671
O00487	ENSG00000115233
P11464	ENSG00000231924
Q00888	ENSG00000243137
Q9UQ74	ENSG00000124467
P48556	ENSG00000099341
Q06323	ENSG00000092010
Q92530	ENSG00000125818
Q969U7	ENSG00000128789
O60542	ENSG00000125650
P0DJ07	ENSG00000229833
P60484	ENSG00000171862
E9PB15	ENSG00000267060
Q8N8N7	ENSG00000140043
P06454	ENSG00000187514
P54829	ENSG00000110786
P29350	ENSG00000111679
O43692	ENSG00000137558
Q5UE93	ENSG00000276231
P78356	ENSG00000277292;ENSG00000276293
Q8TBX8	ENSG00000166908
O75925	ENSG00000033800
Q8N2W9	ENSG00000105229
Q13492	ENSG00000073921
Q3MUY2	ENSG00000255072
Q9NQM4	ENSG00000080572
Q5JTB6	ENSG00000189129
Q6DJT9	ENSG00000181690
Q9UM63	ENSG00000118495
Q9NRZ5	ENSG00000026652
Q9UPR0	ENSG00000284017;ENSG00000154822
Q63HM9	ENSG00000182836
O14939	ENSG00000129219
Q96N28	ENSG00000141391
Q8IV08	ENSG00000105223
Q00G26	ENSG00000214456
O00444	ENSG00000142731
O00469	ENSG00000152952
Q04941	ENSG00000102007
Q7Z6Z6	ENSG00000100341
Q8IY17	ENSG00000032444
Q8TBJ4	ENSG00000148123;ENSG00000276539
Q9BX97	ENSG00000130300
Q9Y4D7	ENSG00000004399
O95744	
A8MQ11	
Q86V59	ENSG00000182013
P11086	ENSG00000141744
Q12796	ENSG00000146278
Q9UKI9	ENSG00000137709
Q03052	ENSG00000185668
Q12837	ENSG00000151615
Q9Y6A1	ENSG00000130714
Q9UKY4	ENSG00000009830
O75817	ENSG00000172336
P62714	ENSG00000104695
Q6NUP7	ENSG00000278326;ENSG00000119698
P10696	ENSG00000163286
Q4J6C6	ENSG00000138078
Q99460	ENSG00000173692
Q8WXF1	ENSG00000121390
O15172	
Q7Z6K3	ENSG00000188647
Q9Y3E5	ENSG00000141378
Q6ZW05	ENSG00000244694
Q13882	ENSG00000101213
P20962	ENSG00000159335
P17706	ENSG00000175354
P30520	ENSG00000035687
Q00577	ENSG00000185129
Q96PZ0	ENSG00000091127
Q5TGL8	ENSG00000168994
Q7Z7A4	ENSG00000168297
Q9Y6I8	ENSG00000101417
Q9Y3Y4	ENSG00000171016
Q9H237	ENSG00000102312
Q15435	ENSG00000115685
Q12972	ENSG00000117751
Q08209	ENSG00000138814
P13686	ENSG00000102575
Q03181	ENSG00000112033
P37231	ENSG00000132170
Q9UKL6	ENSG00000141179
Q86WC6	ENSG00000182676
O95685	ENSG00000132825
Q5VV67	ENSG00000148840
Q96BP3	ENSG00000113593
Q9HCU5	ENSG00000138073
Q96MT3	ENSG00000139174
P78527	ENSG00000253729
P49683	ENSG00000119973
P16471	ENSG00000113494
P04554	ENSG00000122304
Q9NNZ6	ENSG00000178257
P35080	ENSG00000070087
Q16378	ENSG00000282269;ENSG00000263247;ENSG00000111215
Q3B8N5	ENSG00000119608
Q92620	ENSG00000140829
O94906	ENSG00000101161
P11908	ENSG00000101911
Q9NZ81	ENSG00000205352
Q9BWN1	ENSG00000156858
Q8N8Z3	ENSG00000180525
Q6MZQ0	ENSG00000135362
Q96M27	ENSG00000164244
Q5FWE3	ENSG00000163704
Q99811	ENSG00000167157
P0CW18	ENSG00000237412
Q6UWY2	ENSG00000185198
P17980	ENSG00000165916
Q9UIG4	ENSG00000232127;ENSG00000234605;ENSG00000206459;ENSG00000224544;ENSG00000227246;ENSG00000204538
P28074	ENSG00000100804
P25105	ENSG00000169403
P26599	ENSG00000011304
Q96BW5	ENSG00000165983
Q3SYG4	ENSG00000122507
Q3KNS1	ENSG00000182077;ENSG00000276595
P01270	ENSG00000152266
Q05209	ENSG00000127947
Q99952	ENSG00000072135
Q4JDL3	ENSG00000204179
Q9H3S7	ENSG00000076201
P26045	ENSG00000070159
Q15257	ENSG00000119383
P08575	ENSG00000081237;ENSG00000262418
P23470	ENSG00000144724
Q12913	ENSG00000149177
Q92729	ENSG00000060656
P23471	ENSG00000106278
P22102	ENSG00000159131;ENSG00000262473
Q9UJV8	ENSG00000172733
P20742	ENSG00000126838
Q9UPQ7	ENSG00000121440
Q96PU8	ENSG00000112531
Q96P65	ENSG00000186867
Q9H0J4	ENSG00000129646
Q2KHR3	ENSG00000060749
O00391	ENSG00000116260
Q5T6V5	ENSG00000165118
Q96BK5	ENSG00000254093
A2A3N6	
P12273	ENSG00000159763
P0C851	ENSG00000233670
O00562	ENSG00000110697
Q9BZ72	ENSG00000090975
Q9BZ71	ENSG00000091622
O75364	ENSG00000107859
Q7Z3Z3	ENSG00000184571
Q9NTG1	ENSG00000130943
Q9H4M7	ENSG00000105559
Q3KR16	ENSG00000008323
Q8IVE3	ENSG00000152527
Q7Z736	ENSG00000068137
Q8IWE5	ENSG00000116786
Q16512	ENSG00000123143
Q9H875	ENSG00000128563
Q96Q06	ENSG00000167676
P53350	ENSG00000166851
Q8NEB5	ENSG00000147535
Q9HBL7	ENSG00000107020
Q9NRY7	ENSG00000163746
Q9NRQ2	ENSG00000114698
Q13401	
Q01453	ENSG00000109099
Q68D20	
Q15126	ENSG00000163344
P0CW24	ENSG00000235961
Q9UL41	ENSG00000183837
Q96PV4	ENSG00000198883
Q8TCS8	ENSG00000138035
Q8TEM1	ENSG00000132182
P14859	ENSG00000143190
P20265	ENSG00000184486
Q01860	ENSG00000237582;ENSG00000235068;ENSG00000233911;ENSG00000230336;ENSG00000204531;ENSG00000229094;ENSG00000206454
Q8NBT0	ENSG00000164087
Q8N131	ENSG00000152558
A0JP26	ENSG00000278522
Q6S5H4	
Q9NUX5	ENSG00000128513
Q86T03	ENSG00000165782
Q9P1A2	
O75170	ENSG00000100239
O14830	ENSG00000156194
P00491	ENSG00000198805
Q9NVS9	ENSG00000108439
Q8N7G0	ENSG00000248483
Q8NE79	ENSG00000112276
Q9HBU9	ENSG00000121577
Q9HBV1	ENSG00000132429
Q9H8P0	ENSG00000128039
P60510	ENSG00000149923
Q8TF05	ENSG00000154845
Q9NPH0	ENSG00000162836
P24666	ENSG00000143727
P15309	ENSG00000014257
Q07869	ENSG00000186951
P05186	ENSG00000162551
Q9H3Y8	ENSG00000125534
Q8WUA2	ENSG00000131013
P26678	ENSG00000198523
P35813	ENSG00000100614
Q8WY54	ENSG00000175175
Q5JR12	ENSG00000155367
Q8N819	ENSG00000213889
Q5SWA1	ENSG00000158615
P86480	ENSG00000227151
Q5VTL8	ENSG00000134186
O60809	ENSG00000187545;ENSG00000282663
Q5VT98	ENSG00000204478
Q8NCQ7	ENSG00000167525
Q13029	ENSG00000116731
P30044	ENSG00000126432
P06401	ENSG00000082175
P49642	ENSG00000198056
P49643	ENSG00000146143
Q7Z3G6	ENSG00000163637
O43900	ENSG00000012211
P04070	ENSG00000115718
O43272	ENSG00000100033
Q8NHR9	ENSG00000176732
P27918	ENSG00000126759
Q92786	ENSG00000117707
Q6P2Q9	ENSG00000174231;ENSG00000274442
P02810	ENSG00000134551;ENSG00000272803;ENSG00000275679
B1ATL7	ENSG00000183631
P85299	ENSG00000186654
Q7Z6L0	ENSG00000167371
O95084	ENSG00000150687
A1L453	ENSG00000185888
P35998	ENSG00000161057
Q86XN7	ENSG00000120685
Q8WUY3	ENSG00000106772
P20472	ENSG00000100362;ENSG00000274665
Q9UIG5	ENSG00000235487;ENSG00000233734;ENSG00000204540;ENSG00000233439;ENSG00000231094
P25786	ENSG00000129084
P28066	ENSG00000143106
Q8TAA3	ENSG00000154611
P82933	ENSG00000135972
Q9Y3I0	ENSG00000100220
Q8NET4	ENSG00000243978
O75298	ENSG00000125744
O95197	ENSG00000133318
Q9BZR6	ENSG00000040608
P62308	ENSG00000143977
P57060	ENSG00000156253
Q9H446	ENSG00000111832
P19793	ENSG00000186350
Q8N1F8	ENSG00000144589
P55011	ENSG00000064651
Q9UP95	ENSG00000124067
A0AV02	ENSG00000221955
Q9BXP2	ENSG00000146828
Q9BZW2	ENSG00000081800
Q13183	ENSG00000007216
A6NIM6	ENSG00000188991
Q9BYT1	ENSG00000101194
P41440	ENSG00000173638
Q99500	ENSG00000213694
Q9H228	ENSG00000180739
Q8WUM9	ENSG00000144136
Q4U2R8	ENSG00000197901
Q9Y226	ENSG00000172940
Q8IZD6	ENSG00000163393
Q96BI1	ENSG00000110628
A6NK97	
Q9BSK2	ENSG00000171612
Q86VD7	ENSG00000181035
Q9H1U9	ENSG00000122696
P50443	ENSG00000155850
O43511	ENSG00000091137
Q9BXS9	ENSG00000225697
O14975	ENSG00000140284
O00337	ENSG00000156222
O43868	ENSG00000137860
Q14542	ENSG00000174669
Q9BZD2	ENSG00000198246
Q8TF17	ENSG00000169247
Q8IVJ1	ENSG00000133065
Q96JT2	ENSG00000158715
Q5BKX6	ENSG00000022567
Q7Z3Q1	ENSG00000139508
Q86VL8	ENSG00000180638
Q9GZN6	ENSG00000063127
Q9Y2H2	ENSG00000198825
Q9HBV2	ENSG00000118434
W5XKT8	ENSG00000182310
O43865	ENSG00000168710
Q9Y467	ENSG00000165821
P17900	ENSG00000196743
Q6NUJ1	ENSG00000178597
Q9NR31	ENSG00000079332
P21673	ENSG00000130066
Q8IYX7	ENSG00000155875
Q6UWP8	ENSG00000189001
P0C7V7	
Q9BY50	ENSG00000166562
Q96IW7	ENSG00000121542
P48443	ENSG00000143171
Q9NUL5	ENSG00000130813
Q15413	ENSG00000198838
P29034	ENSG00000196754
P33763	ENSG00000196420
P06702	ENSG00000163220
Q9HCY8	ENSG00000189334
Q9Y2C5	ENSG00000146039
Q5SY68	ENSG00000197364
Q9NSC2	ENSG00000103449
Q5VXD3	ENSG00000203943
Q6SPF0	
Q5TGI4	ENSG00000203727
Q5K651	ENSG00000205413
Q9Y3Z3	ENSG00000101347
Q9Y289	ENSG00000138074
O75845	ENSG00000109929
P60468	ENSG00000106803
P60059	ENSG00000132432
Q969E2	ENSG00000227500
Q8TAC9	ENSG00000198794
Q9Y6X3	ENSG00000129933
Q8WU76	ENSG00000184178
P05060	ENSG00000089199
Q8WXD2	ENSG00000104112
Q6UWF3	ENSG00000161929
Q96I15	ENSG00000132330
Q6NUK1	ENSG00000085491;ENSG00000284468
Q9UN30	ENSG00000047634
Q9UQR0	ENSG00000102098
P35498	ENSG00000144285
Q99250	ENSG00000136531
Q9NY72	ENSG00000166257
Q14524	ENSG00000183873
P37088	ENSG00000111319
P51168	ENSG00000168447
O75880	ENSG00000133028
O43819	ENSG00000130489
O75711	ENSG00000164106
Q14160	ENSG00000180900
Q12765	ENSG00000136193
Q9H190	ENSG00000125775
Q5VUM1	ENSG00000154079
Q9UBV2	ENSG00000071537
Q5TEA6	ENSG00000101251
Q9HB31	ENSG00000274529
Q96T21	ENSG00000187742
Q12981	ENSG00000113734
Q99442	ENSG00000008952
Q9P0U3	ENSG00000079387
Q9BQF6	ENSG00000138468
Q6ZU15	ENSG00000154997
P49908	ENSG00000250722
Q12884	ENSG00000078098
Q99719	ENSG00000184702
O43175	ENSG00000092621
Q96SA4	ENSG00000168528
P84101	ENSG00000140264
Q9NQF3	
A8MV23	ENSG00000253309
Q8N4B1	ENSG00000198324
Q86TU7	ENSG00000183576
Q8TBK2	ENSG00000103037
Q8NE22	ENSG00000155542
P0DME0	ENSG00000230667
Q53H47	ENSG00000170364
Q01105	ENSG00000119335
